set,query_rank,pmcid,title,pub_date,technique,read_in_full,si_status,chain_length,branch_alt_visible,branch_rejected_named,rejected_with_number,channels_claimed,measured_depth_note,raw_data_deposited,notes
E,1,PMC13502363,"TiO6 as a Compensatory Structural Unit in Co-Free, High-Ni Layered Oxide for Durable Lithium-Ion Batteries",2026-08-24,both,yes,SI docx parsed (text + tables); SI figure images (EMF) rendered and inspected for printed fit metrics,7,5,3,3,SXPD(Rietveld);operando SXPD;EXAFS;XANES;NEXAFS (soft XAS);HRTEM;SEM-EDX;DFT;XPS;ICP-OES,Operando Ni K EXAFS at 3 states (OCV/4.4V/3.0V) fit with two competing shell models per sample; Rietveld with three Ti-site occupancy models; operando Rietveld for lattice parameters,no,"Counts are decision points. Ti-site branch has 2 rejected models (TM-only, Li-only), each with RBragg/Rwp/chi2 printed in Fig S3 image. EXAFS shell-model branches: rejected-model R-factors printed inside Fig S13/S14 panels (not in SI text). Data Availability: 'nothing to report'."
E,2,PMC13564186,Synergistic Integration of Fe-N4 Single-Atom Sites and Directionally Aligned Electrode Architecture for High-Performance Lithium-Sulfur Batteries,2026-09-11,EXAFS,yes,SI PDF parsed with pdftotext; Fig S18 page rendered and inspected,6,1,1,0,EXAFS;XANES;wavelet-transform EXAFS;HAADF-STEM;XPS;XRD;EDS;ICP-OES;DFT,"Single Fe-N path EXAFS fit on one sample (CN 4.31, R 0.016); cluster alternative excluded qualitatively",no,Li-S cathode host (not a Li-ion oxide). Data 'available in supplementary material' but SI contains only figures. No alternative EXAFS model fitted.
E,3,PMC13354738,Inhibition of Surface-Originated Degradations in Lithium-Rich Layered Cathode via a Pre-Constructed Carbon/Fluorine-Rich Artificial CEI Layer,2026-07-10,both,yes,"SI docx parsed (text + tables); figures are images, captions read",6,2,0,0,XRD(Rietveld);EXAFS;XANES;WT-EXAFS;HRTEM;HAADF-STEM;GPA;EELS;XPS;TOF-SIMS;Raman;FT-IR;ICP-OES;DEMS,"Two-phase (R-3m + C2/m) Rietveld on pristine powders, parameters only in tables; Mn K EXAFS on 100-cycle electrodes with Mn-O distance, sigma2, R-factor only (Table S7)",no,"No alternative structural model fitted in Rietveld or EXAFS. Synthesis temperature/time screening (Table S1) is a process choice, not counted as structural branch. No data availability statement."
E,4,PMC13216370,Breaking the Limitations of Sulfur Redox Kinetics by Accelerated Li+-Desolvation in Lithium-Sulfur Batteries,2026-05-27,EXAFS,yes,"SI docx parsed (text + tables); figures are images, captions read",6,3,2,0,EXAFS;XANES;WT-EXAFS;HAADF-STEM;TEM/HRTEM;XPS;XRD;ICP-OES;DFT;MD;Raman,"Single Ce L3 EXAFS fit (Ce-N 3.9 + Ce-O 3.7, R 0.0049) on one catalyst; CeO2 reference fit used to fix S0^2",no,Li-S separator catalyst (not a Li-ion oxide cathode). No alternative EXAFS model fitted. No data availability statement.
E,5,PMC13463299,Reverse barrier layer and interfacial M-O bond reinforcement in an S-scheme high-entropy oxide heterojunction for efficient photo-assisted lithium-oxygen batteries,2026-08-04,both,yes,"SI PDF parsed with pdftotext (text, tables, vector-figure labels)",6,2,1,0,XRD(Rietveld);EXAFS;XANES;WT-EXAFS;XPS;Raman;HRTEM/SAED;HAADF-STEM EDS;DFT;TOF-SIMS;DEMS,"Fe K EXAFS fits for HEO and HEO@TiO2 (Fe-O + two Fe-O-Fe/Ti shells), accepted R only; Rietveld of HEO vs CoCr2O4 reference (Rp/Rwp given) used for lattice comparison, not model selection",no,"Li-O2 battery catalyst cathode, not an intercalation cathode. Main text quotes Fe-O 1.45-1.52 A (FT peak positions) while Table S4 gives fitted 1.91-1.95 A. Data statement points to SI, which contains only figures/tables."
E,6,PMC13123467,Improved cycle life and Li-ion transport parameters at low temperature in doped Ni-rich NMC cathodes,2026-04-23,both,yes,SI PDF parsed with pdftotext (text and tables),6,3,2,0,XRD(Rietveld);ex situ XRD;XANES;EXAFS (qualitative FT only);XPS;SEM;electrochemistry (EIS/GITT/dQdV),"Rietveld on pristine powders and ex situ electrodes with Rwp per pattern (Table 1, Table S6); EXAFS shown only as uncorrected FT magnitudes, no shell fitting ('further fitting required')",no,"EXAFS never fitted, so no EXAFS model branch possible. Boron-site question discussed with three literature hypotheses but not tested by refinement. Raw data 'available on request'."
E,8,PMC12854592,Quantitative Synchrotron XRD and Cryogenic EXAFS Reveal the Structural Role of Antimony Ions in Lead-Acid Batteries,2026-01-14,EXAFS,yes,"SI PDF parsed with pdftotext (text, tables, vector-figure labels)",6,1,1,0,"synchrotron XRD (Le Bail);EXAFS (Sb K, 10 K);XANES;Pb L3 EXAFS;SEM;chemical analysis","One three-path Sb K EXAFS fit (CN fixed) on formed 0.2 wt% sample, Rf 3.4%; other states compared by FT intensity only; XRD by Le Bail (not Rietveld) with Rwp/Rp",no,"Lead-acid positive electrode (not Li cathode) - off-target hit for the query. Diffraction is Le Bail, not Rietveld, so technique recorded as EXAFS. No data availability statement."
E,9,PMC13155261,Electrolyte-Induced Interfacial/Bulk Dual Regulation Enables Negligible Capacity Decay in Li-Rich Cathodes,2026-04-06,both,yes,"SI docx parsed (text; figures are images, captions read)",5,2,0,0,XRD(Rietveld);NPD(Rietveld);in situ XRD;XANES;EXAFS (FT/WT only);HAADF-STEM;EELS;XPS;TOF-SIMS;ICP-OES;DFT;MD;Raman;NMR,"Rietveld (GSAS-II) of XRD and NPD for pristine and cycled electrodes, lattice parameters only in text; lab XAFS (Rapid XAFS 2M) Mn/Ni K shown as FT and WT maps, no shell-fit table",no,"Commercial LRMO cathode, study is electrolyte design. No fit metrics printed for any structural refinement; no competing structural models. Data 'available on request'; 'source data provided in this paper' but PMC supplement has only docx SI and figures."
E,11,PMC13398766,Accelerating the decomposition kinetics of Li5FeO4 for mitigating potential risks in practical applications,2026-07-17,both,yes,"SI PDF parsed with pdftotext (text, tables, vector-figure labels)",7,3,1,0,sXRD(Rietveld);NPD(Rietveld);EXAFS;XANES;O K sXAS;RIXS;DFT;TOF-SIMS;DEMS/TMS,"Fe K EXAFS single-shell fits at 3 states for LFO and LFMO, two-component FeO4/FeO6 fit at de-2Li+ with fixed N (R 0.7-2.2%); Rietveld (NPD, sXRD) with atomic tables but no Rwp printed",no,"Cathode prelithiation additive (Li5FeO4), not an intercalation cathode. Charge-compensation alternative (oxygen vacancies) rejected by DFT formation energy, which is not a fit metric, so counted as named only. Mn level (3%) choice treated as composition screening, not a structural branch. Data on request."
E,12,PMC13322259,Diffraction anomalous fine structure pinpoints electrochemically active sites in robust heterojunctions,2026-07-01,both,yes,"SI PDF parsed with pdftotext (text, tables, vector-figure labels)",7,3,3,0,"XRD(Rietveld);operando SRXRD;EXAFS;WT-EXAFS;XANES (Nb L, Nb K, Cu K/L);DAFS;FDMNES theory;HR-STEM;XPS;TOF-SIMS;EDS/EPMA;DFT",Nb K EXAFS four-path fit of pristine material with no R-factor printed (Table S1); two-phase Rietveld Rwp 8.48% (Table S2); active-site assignment by qualitative DAFS vs FDMNES comparison,no,"Nb4CuC3/Nb4C3Tx MXene is a Li-ion ANODE, off-target hit for a cathode query. No rejected alternative carries a fit metric. Data statement: all data 'in the paper and/or SM' (figures/tables only)."
