set,query_rank,pmcid,title,pub_date,technique,read_in_full,si_status,chain_length,branch_alt_visible,branch_rejected_named,rejected_with_number,channels_claimed,measured_depth_note,raw_data_deposited,notes
R,1,PMC13191734,In situ formed amorphous carbon-coated LiMn2O4 cathode with long-term stability for lithium-ion batteries.,2026-05-20,Rietveld,yes,"SI PDF parsed (pdftotext): Figs S1-S2, Tables S1-S3 (XPS, EIS); no refinement tables",4,1,0,0,XRD;SEM-EDS;XPS;HAADF-STEM,"Lab Cu XRD; Rietveld only for lattice parameters; individual Rwp values not printed (only Rwp<10, chi2<10)",no,No alternative structural model discussed.
R,2,PMC12899607,Spinel-Encapsulated Ni-Rich Cathodes for Enhanced Thermal Safety: Unraveling the Decomposition Kinetics and Interfacial Reconstruction.,2026-01-29,Rietveld,yes,"SI zip -> PDF parsed (optical photos, SEM-EDS maps only)",6,1,0,0,XRD;XPS;SEM-EDS;dQ/dV;TG-DSC,"Lab Cu XRD; lattice params, I003/I104, microstrain; no occupancies reported",no,"Kinetic reaction-model selection (5 models, F1 chosen) is non-structural; logged in facts but excluded from counts. Table 2 misaligned."
R,3,PMC13244472,"Evolution of Charge and Orbital Ordering, and Cation Vacancy Ordering During Electrochemical Desodiation of NaxNiO2.",2026-05-20,Rietveld,yes,"SI PDF parsed + ZIP (TOPAS TOF Stephens macro, template)",8,7,7,1,SXRD;NPD;XANES;electrochemistry;BVS,"Synchrotron+neutron combined Rietveld; atomic positions, occupancies, Biso refined; operando sequential",partial (NPD raw via ISIS experiment DOI),"Sodium (Na-ion) cathode, not lithium; query hit via Li analogue discussion. Operando Rwp 8.232% vs ex situ 2.175% is same model on different data, not counted."
R,4,PMC13123467,Improved cycle life and Li-ion transport parameters at low temperature in doped Ni-rich NMC cathodes.,2026-04-23,Rietveld,yes,SI PDF parsed: Tables S1-S7 incl. ex situ Rietveld Rwp (Table S6),6,4,3,0,XRD;XPS;XANES;EXAFS;dQ/dV;SEM,"Lab XRD Rietveld (lattice, Ni-on-Li); EXAFS shown but not fitted (""further fitting required"")",no,"EXAFS qualitative only, so technique recorded as Rietveld."
R,5,PMC13579521,An orbital-coupling-driven bifunctional prelithiation additive for enhanced practical Li-ion full cells,2026-09-17,Rietveld,yes,"SI PDF parsed: Table S1 refinement, Figs S1-S16",5,0,0,0,XRD;TEM;XPS;EDS;in situ XRD;DFT,"Lab Cu XRD; 3-phase Rietveld, lattice + weight fractions",no,Text says no impurity phases but Table S1 refines 13.3/11 wt% Li2CO3 and 5.9/3.4 wt% NiO (internal inconsistency). No alternatives discussed.
R,6,PMC13336001,"Impurity Tolerance in LiFePO4 Cathodes: Contrasting Structural, Electronic, and Electrochemical Roles of Residual Ni and Cr.",2026-05-22,Rietveld,yes,"SI docx parsed (text via XML extraction): Table S1, Figs S1-S6",5,3,2,1,XRD;SEM-EDS;TEM;FT-IR;XPS;DFT,"Lab XRD; lattice/volume only; antisite inferred from FT-IR, not refined",no,"Numbered rejection is weak: rejected single-phase model Rwp compared across samples, accepted two-phase model has no metric."
R,7,PMC13223887,Tailoring Mn3O4 nanoparticle morphology via polyethylene glycol mediation for aqueous rechargeable zinc-ion batteries.,2026-05-28,Rietveld,yes,no SI document (supplementary zip holds only figure/table images),4,0,0,0,XRD;FTIR;EDX;TEM;Raman;XPS,"Lab XRD; phase fractions, lattice, size/strain",no,"Zn-ion aqueous cathode, not lithium (query match via intro text). Text calls P3M1 pure Mn3O4 while Table 1 lists 6.8% Mn2O3."
R,8,PMC13165210,Synthesis of Lithium Iron Phosphate Materials via an All-in-One Integrated Liquid Phase Method.,2026-04-25,Rietveld,yes,SI zip -> PDF parsed (cost-comparison note only),5,0,0,0,XRD;SEM-EDS;TEM;ICP-OES;XPS,Lab XRD; cell parameters for two samples,no,No alternative models; Methods lists 0.01 mol/L where text uses 0.1 mol/L.
R,9,PMC12895389,Dara: Automated Multiple-Hypothesis Phase Identification and Refinement from Powder X‑ray Diffraction.,2026-01-27,Rietveld,yes,"SI PDF (198 pp) parsed + data ZIP (xrdml patterns, xlsx summaries parsed)",7,13,9,6,XRD;Materials Project energies;SEM-EDS (proposed),Lab XRD; BGMN Rietveld phase ID/fractions; atomic positions fixed,yes (xrdml in SI zip),"Methods paper, not a cathode study. SI also lists ~21 lower-ranked Dara hypotheses with Rwp across 61 patterns; these are retained alternatives, not rejections, so not counted."
R,10,PMC13108580,Fe-substituted Na3.5V1.5Mn0.5(PO4)3 NaSICON cathode with multi-electron reactions and improved energy output.,2026-04-24,Rietveld,yes,"SI PDF parsed: Notes S1-S3, Tables S1-S8",6,2,1,0,XRD;FT-IR;Raman;TGA;SEM-TEM-EDS;ICP,"Lab XRD Rietveld with atomic positions, Uiso, Na occupancies; BVS",no,"Sodium-ion NaSICON cathode, not lithium. BVS >5 at mixed site flagged, left unresolved (not counted as branch)."
