set,query_rank,pmcid,title,pub_date,technique,read_in_full,si_status,chain_length,branch_alt_visible,branch_rejected_named,rejected_with_number,channels_claimed,measured_depth_note,raw_data_deposited,notes
Z,q1:1,PMC13334540,Unveiling a novel CeVO4@ZnTiO3 S-scheme heterojunction: enhanced charge separation and photocatalytic efficiency for the sustainable degradation of organic pollutants.,2026-07-06,Rietveld,yes,"SI PDF parsed (pdftotext): Figs S1-S5 only, no fit data",7,1,0,0,XRD;Rietveld;Raman;FT-IR;SEM-EDS,Only accepted-model Rwp/Rexp/chi2 printed (Table 2: chi2 3.39-3.63); no alternative model evaluated,no (on request),"Numbered model comparison only for non-structural pseudo-first-order kinetics (R2, Table 4); not counted. Hexagonal ZnTiO3 labelled R-3 in Table 2."
Z,q1:2,PMC10766635,Humidity sensing using Zn(1.6 - x)Na0.4CuxTiO4 spinel nanostructures.,2024-01-04,Rietveld,yes,SI = 9 xlsx data files (read); no SI PDF,7,2,0,0,XRD;Rietveld;TEM;Raman;UV-vis DRS,"Accepted-model chi2/Rp/Rwp/Rexp only (Table 1); ZT-0.6Cu row has Rp 27.9, Rexp 23.68 with Rwp 4.8 (internally odd)",partial (Raman + DRS spectra xlsx; XRD not deposited),"Text says x=0-1.2 but Table 1 lists x=0,0.1,0.3,0.6. Site occupancies not tabulated."
Z,q1:3,PMC7988328,Properties of zinc titanates synthesized by microwave assisted hydrothermal method.,2021-03-16,neither (Rietveld explicitly not done),yes,No SI exists (supp zip = figure images only),6,4,2,0,XRD;Raman;EDAX;SEM;PL;UV-vis,Phase assignment by JCPDS peak matching only; no fit metric anywhere,no,Returned by Rietveld query because text mentions Rietveld; contributes zero fitted models.
Z,q1:4,PMC13129188,Dual-Functional Photonic Metacoating Integrating Fluorescence Thermometry and High-Performance Space Radiative Cooling.,2026-04-29,Rietveld,yes,"SI docx parsed as text; Rietveld Fig S8 is an image, not parsed",8,2,1,0,XRD;Rietveld;SAED;HAADF-STEM;EDS;XPS;DFT,Rietveld reported only as a figure (Fig S8); no R-values in text; Eu site claim from STEM-EDS,no,Off-topic for Zn-Ti-O: Zn2TiO4 appears only as a benchmark pigment coating.
Z,q1:5,PMC11642571,Nanoparticle-Composed Photosensitive Thin Films Based on ZnO.,2024-11-25,Rietveld,yes,"SI PDF (nested zip) parsed: Table S1, Figs S1-S2",8,3,0,0,XRD;Rietveld;TEM;SEM;UV-vis-NIR;PL,"Rietveld gives lattice params, crystallite size, phase wt% (Table 1, Table S1); no R-values reported at all",no,No agreement indices printed even for accepted model.
Z,q1:6,PMC11620104,"Viability and antibacterial properties of Ba2-x AgxFeMoO6(x=0.0, 0.05) double perovskite oxides.",2024-10-11,Rietveld,yes,No SI (supp zip = figure images only),5,2,1,0,XRD;Rietveld;FE-SEM-EDX;BET;DRS;FTIR;XPS,Rietveld yields only lattice parameters; no R-values printed,no,Off-topic (Ba2FeMoO6); returned via ZnTiO3 in introduction.
Z,q1:7,PMC12277421,"Impact of various dopants (X = Zn, Mg, and Bi) on the structural, optical, and adsorption properties of (Co0.8Ni0.1X0.1)3O4 nanostructures.",2025-07-20,Rietveld,yes,No SI (supp zip = figure/equation images only),8,3,2,0,XRD;Rietveld;FTIR;XPS;SEM-EDX;TEM-SAED;Raman;BET;UV-vis;PL,Accepted-model Rwp/Rb/Rexp only (Table 1; chi2 column header garbled); no competing structural refinement,no (on request),"Off-topic (Co3O4 spinel). Numbered model rejections exist only for adsorption kinetics/isotherms (R2, Tables 5, 7); non-structural, not counted."
Z,q1:8,PMC11783538,"Controllable Active Intermediate in CO2 Hydrogenation Enabling Highly Selective N,N-Dimethylformamide Synthesis via N-Formylation.",2024-12-19,both,yes,"SI PDF parsed; Tables S3/S4 were images, rendered and read",9,3,2,0,XRD;Raman;HRTEM-STEM-EDS;neutron diffraction;Rietveld;XANES;EXAFS;XPS;ICP;DFT,"Neutron Rietveld accepted model only (Rwp 1.96%, Table S3); EXAFS single Zn-O shell, R 0.9-1.6% (Table S4)",no,"Zn-30 fitted with Zn-O only (CN 5.7) although text reports an emerging Zn-Zn peak. DFT motif comparison (-Zn-O-Zn- vs -Zn-O-Ti-) is energetic, not a fit; not counted."
Z,q2:1,PMC12931159,Photocatalytic Asymmetric C-C Coupling for CO2 Reduction on Cu-Zn Bimetallic Catalysts with Dipole-Limiting Effects.,2025-12-08,EXAFS,yes,SI docx parsed as text (Table S1 read),9,4,2,0,XRD;HAADF-STEM;EDS;ICP-AES;XPS;XANES;EXAFS;DFT,"Single-path fits (Cu-O CN 3.6, Zn-O CN 3.91; R-factor 0.0079/0.01); claimed N/O split and Cu-Zn pair not fitted",no (on request),Claims Cu-N-2O/Zn-N-2O but Table S1 fits single O paths. SI header says S02=1(Ni) and Fig S11 maps Ni (copy errors). Off-topic for Zn-Ti-O.
Z,q2:2,PMC13509059,Stabilization of Cu Species in UiO-66 Metal-Organic Framework for CO2-to-Methanol: Insights From Operando X-ray and Electron Microscopy Studies.,2026-07-01,EXAFS,yes,"SI docx parsed as text (Tables S1, S2, fitting details read)",11,7,3,0,XRD;NMR;N2 physisorption;ICP-OES;HAADF-STEM-EDX;Raman;TGA-MS;XANES;EXAFS;MCR-ALS;DFT,"Single Cu-Cu shell fits (R-factor 0.007/0.022, Table 2); Zn ZnO model R 0.02 (Table S2); only accepted models numbered",yes (ESRF DOI; scope unclear),"Most careful reasoning in set, but every rejected alternative is qualitative. Off-topic for Zn-Ti-O."
