plate,system,cations,T,print,n_xrd,xrd_raw_only,n_photo_rows,n_photo_samples,xrf_n,xtype,xrd_recs,photo_recs,xrf_rec,cond,status
1377,Mn-O-V,Mn-V,550.0,pvds,10,0,28,28,0,xrds,a1f93-vb324:20170118.152831.copied-20170118223328409PST.zip:96637175,5ww3d-am102,,[],PARTIAL
1381,Cu-O-V,Cu-V,550.0,pvds,18,0,27,93,0,xrds,0y2vw-e8562:20161216.155045.copied-20161216223734169PST.zip:83698473;aghed-7w812:bundle,aghed-7w812,,[],ADMIT_NEEDS_XRF
1401,Cu-O-V,Cu-V,610.0,pvds,34,0,33,111,0,xrds,e7a46-k8p50:bundle;xx5m2-mr081:20170111.145847.copied-20170112144408651PST.zip:118985306,e7a46-k8p50,,[],ADMIT_NEEDS_XRF
1409,Mn-O-V,Mn-V,550.0,pvds,9,0,13,13,0,xrds,ex0sg-pr383:20170118.112439.copied-20170118223328409PST.zip:71074051,0dan6-2f448,,[],PARTIAL
1412,Mn-O-V,Mn-V,550.0,pvds,19,0,18,18,0,xrds,fmdty-xnr41:20170118.111102.copied-20170118223328409PST.zip:108196398,0dn2x-hdk94;5baeg-d8x86,,[],ADMIT_NEEDS_XRF
2260,Mn-O-V,Mn-V,610.0,pvds,15,0,13,36,0,xrds,wdcm3-anj90:20170118.102828.copied-20170118223328409PST.zip:52904453,74evz-cwd26;8btfs-tb673;rywqz-6bb03,,[],PARTIAL
2334,Bi-Cu-Mn-O-Sm,Bi-Cu-Mn-Sm,615.0,inkj,289,0,352,352,0,ssrl,m003x-r1w45:20171016.220720.copied-20171203083520161PST.zip:11695209,0hmtc-50a09;1p35q-03w12;5tatf-h3093;5vbhv-k8b70;6m6q7-9c653;f5vrf-bbh77;hxt3e-bta61;j5cr2-b7v29;j6892-ty954;jcxty-ank47;k7zmm-gbj49;pdahn-49271;pdn7s-ykk63;qvt9a-px518;se3s8-wz755;vjn15-3fk27;wkqmq-x4a93;xf35g-we884;xkzmg-8tf04;z4r3n-g3d97;ze7me-61w88;zhppm-y6347,,[],ADMIT_NEEDS_XRF
2783,Bi-Cu-O-V,Bi-Cu-V,550.0,pvds,317,0,201,201,1521,ssrl,hjg9r-zfr72:20170823.140526.copied-20170823234456363PDT.zip:9807156;nzhny-yj529:20171011.113239.copied-20171016151616488PDT.zip:17089914;tt9pa-eab72:20171011.113240.copied-20171129084916724PST.zip:17074242,859fm-t4403;hyqsp-7pm12;kga94-g7m05;m7qmq-e4f37;r53g4-j2d07;s5vm0-ptq18;vhn1p-n2p46,rgss4-8f172,[],ADMIT
2792,Co-Ni-O,Co-Ni,550.0,pvds,21,0,30,30,0,xrds,ed94y-v2e50:20170117.171955.copied-20170117222801496PST.zip:171858324,bqz9p-qf826,,[],ADMIT_NEEDS_XRF
2797,Mn-Ni-O,Mn-Ni,550.0,pvds,29,0,114,143,0,xrds,pmb7y-n3g61:20170117.142052.copied-20170117222801496PST.zip:209748038,240r0-aa830;n1jbb-gb943;q53d7-6ds72,,[],ADMIT_NEEDS_XRF
2853,Fe-Mn-O,Fe-Mn,550.0,pvds,11,0,31,31,0,xrds,jtx48-r0390:bundle,jtx48-r0390,,[],PARTIAL
2854,Ag-Co-O,Ag-Co,550.0,pvds,14,0,30,60,0,xrds,g9zc5-c3q02:20170112.161305.copied-20170112223113781PST.zip:54796953,695f0-62620;j8dvv-mt646;pg4sc-m8886,,[],PARTIAL
2856,Ni-O-Ti,Ni-Ti,550.0,pvds,14,0,30,60,0,xrds,c9d8h-s3b61:20170112.155057.copied-20170112223113781PST.zip:48120134,hcd4h-8a758;mjz0w-b4k03;qxbtd-afp10;wsb5r-ycb79;wybfc-ahq25,,[],PARTIAL
2858,Ag-Fe-O,Ag-Fe,550.0,pvds,11,0,30,60,0,xrds,npva7-45852:20170112.153328.copied-20170112223113781PST.zip:39250333,5w659-bvy55;67fgy-91150;hk80m-str78;pekne-3kx55;s8v8f-3x114;xh6pn-hme86,,[],PARTIAL
3046,Ba-Mn-O,Ba-Mn,850.0,pvds,85,0,33,78,1521,"ssrl,xrds",vv33s-p3e04:20171022.234533.copied-20171203083520161PST.zip:3118452;yr3mq-46r62:20161205.171920.copied-20161205225149621PST.zip:84978780,s6tmt-svp59,qxk9b-67h38,[],ADMIT
3050,Ca-Mn-O,Ca-Mn,850.0,pvds,135,0,29,80,1521,ssrl,x7h7e-r2b85:20171112.150217.copied-20171203083520161PST.zip:5407110,rw4wx-t4913,g3362-dd485,[],ADMIT
3051,Mn-O-Sr,Mn-Sr,850.0,pvds,79,0,29,71,1521,"ssrl,xrds",52xj8-sq588:20161205.171711.copied-20161205225149621PST.zip:14414851;77vef-3n279:20171022.235331.copied-20171203083520161PST.zip:3102539,tepyt-b4r74,cqyma-bkt34,[],ADMIT
3057,La-N-O-Ta,La-N-Ta,900.0,pvds,135,0,29,29,0,ssrl,v58bp-zd985:20171018.223228.copied-20171203083520161PST.zip:5456000,74dc1-xk214,,[],ADMIT_NEEDS_XRF
3059,Mg-Mn-O,Mg-Mn,850.0,pvds,215,0,29,113,1521,ssrl,rbtky-wrh67:20171022.234842.copied-20171203083520161PST.zip:8669667,581m6-kkk11,581m6-kkk11,[],ADMIT
3065,Mn-O-Ti,Mn-Ti,950.0,pvds,15,0,31,31,0,xrds,azaqq-5de27:20161205.165610.copied-20161205225149621PST.zip:126814139,cvcp0-8d385,,[],ADMIT_NEEDS_XRF
3067,Mn-O-Y,Mn-Y,850.0,pvds,21,0,30,59,35,xrds,w12s0-h7163:20161205.165149.copied-20161205225149621PST.zip:141578195,a8gnm-gqg48,a8gnm-gqg48,[],ADMIT
3068,Mn-O-W,Mn-W,860.0,pvds,18,0,31,115,0,xrds,c9y2t-ta441:bundle;mf7jz-xfy63:20161205.164603.copied-20161205225149621PST.zip:81432395,c9y2t-ta441,,"[[""1.4"", ""385""], [""13"", ""385,455,515,590,660,740,850""], [""2.9"", ""385""], [""3"", ""385""]]",ADMIT_NEEDS_XRF
3071,Ge-Mn-O,Ge-Mn,900.0,pvds,26,0,31,31,43,xrds,mz2pt-vby76:20161205.164334.copied-20161205225149621PST.zip:214328531,vv0rk-8nc24,vv0rk-8nc24,[],ADMIT
3072,Mn-O-Sb,Mn-Sb,900.0,pvds,34,0,32,61,1521,xrds,gh420-fcf57:bundle,gh420-fcf57,gh420-fcf57,"[[""0"", ""385""], [""13"", ""385""], [""13"", ""385,455,515,590,660,740,850""]]",ADMIT
3080,La-N-O-Ta,La-N-Ta,900.0,pvds,58,0,31,89,0,xrds,nv3n2-98n39:20170118.170107.copied-20170118223328409PST.zip:526908071,8f58g-xnf46;debg8-ax185;hn8j2-8xf10;n5y91-hva36,,[],ADMIT_NEEDS_XRF
3096,Mn-O-Si,Mn-Si,1100.0,pvds,14,0,32,31,0,xrds,z8hdb-8s005:20161205.162642.copied-20161205225149621PST.zip:117803311,5a5ar-xdh48,,[],PARTIAL
3097,Mn-O-Sn,Mn-Sn,900.0,pvds,21,0,31,31,0,xrds,vfdw3-wk252:20161205.162218.copied-20161205225149621PST.zip:218473687,rze95-9dv76,,[],ADMIT_NEEDS_XRF
3102,Cr-Fe-O-V,Cr-Fe-V,850.0,pvds,317,0,210,210,1521,ssrl,1974h-0fn80:20171012.133143.copied-20171016151616488PDT.zip:21683719;1jf4g-30j49:20170823.141031.copied-20170823234456363PDT.zip:9844866,02a3r-1tf51;c49pq-g5n94,0xtmh-kk993,[],ADMIT
3106,Fe-Ni-O-V,Fe-Ni-V,800.0,pvds,317,0,210,210,1521,ssrl,1esfz-mb271:20171011.113327.copied-20171016151616488PDT.zip:17348416;yvnc5-tjf79:20170823.141545.copied-20170823234456363PDT.zip:9927379,2ys8d-wht95;8wmp9-fvg05,ydt4y-h3n49,[],ADMIT
3108,Ca-Fe-Mn-O,Ca-Fe-Mn,850.0,pvds,332,0,190,190,1521,ssrl,4tchy-h9c44:20171012.105803.copied-20171016151616488PDT.zip:18173887;nexbh-8mw06:20170823.142104.copied-20170823234456363PDT.zip:10327370,83xy3-8hc98,7q4a8-36176,[],ADMIT
3112,Mn-O-Y,Mn-Y,850.0,pvds,32,0,29,58,41,xrds,gt06c-8t911:bundle,gt06c-8t911,gt06c-8t911,"[[""10.000"", ""387,455,516,602""], [""13"", ""385""], [""13"", ""387,455,516,602""], [""9.7"", ""385""]]",ADMIT
3199,Ca-Mn-O,Ca-Mn,850.0,pvds,22,0,30,92,1521,xrds,z1p26-qa248:20161205.161939.copied-20161205225149621PST.zip:219919664,4jv12-etg96,n4evc-d7n31,[],ADMIT
3201,O-Ti-V,Ti-V,610.0,pvds,11,0,15,30,21,xrds,s1nar-ewx30:20161117.155814.copied-20161204221744582PST.zip:86515093,nkwq4-yyq92;zc6qj-jym06,he98y-ytk83,[],PARTIAL
3202,Bi-O-V,Bi-V,550.0,pvds,15,0,15,47,21,xrds,vpgkq-j7487:20161117.155637.copied-20161204221744582PST.zip:68307831,8rgcp-czv67,c801k-fry57,[],ADMIT
3203,O-Ta-V,Ta-V,550.0,pvds,11,0,15,31,63,xrds,6zrjf-kvh90:20161117.155425.copied-20161204221744582PST.zip:87601398,zd9gs-qs353,m3amk-m7w04,[],PARTIAL
3207,Cr-O-V,Cr-V,610.0,pvds,11,0,17,46,21,xrds,rvvd4-p8t62:20161115.140028.copied-20161204221744582PST.zip:25365756,pfjc5-q5x58,f05ke-vh366,[],PARTIAL
3211,Cr-Mn-O,Cr-Mn,550.0,pvds,21,0,15,29,0,xrds,9gbg1-wrs70:20161205.160607.copied-20161205225149621PST.zip:184816269,0wzbe-8zy13;4d36z-9gg07;x5jc1-8jn38,,[],ADMIT_NEEDS_XRF
3212,Ag-O-V,Ag-V,200.0,pvds,37,0,17,45,42,xrds,jq8ec-01g73:20161130.103924.copied-20161204221744582PST.zip:78258362,3x9by-5rb20;55v16-15079;dvfbv-26t69,z2ph8-h2854,[],ADMIT
3213,Ge-Mn-O,Ge-Mn,550.0,pvds,11,0,15,15,0,xrds,48rsy-6aq12:bundle;y8zqn-s2e22:20161205.160353.copied-20161205225149621PST.zip:92231069,48rsy-6aq12,,[],PARTIAL
3214,Ag-O-V,Ag-V,300.0,pvds,23,0,16,33,21,xrds,6qtd3-g9e37:20161130.103051.copied-20161204221744582PST.zip:116479445,pfb9t-gap36,pfb9t-gap36,[],ADMIT
3215,Ag-O-V,Ag-V,610.0,pvds,25,0,15,15,21,xrds,w3c4p-yka49:20161130.105927.copied-20161204221744582PST.zip:195409206,k5crh-64k54,k5crh-64k54,[],ADMIT
3216,Mn-O-Sb,Mn-Sb,550.0,pvds,11,0,30,163,0,xrds,p17w1-pw273:bundle,p17w1-pw273,,"[[""0"", ""385""], [""1.4"", ""385""], [""13"", ""385,455,515,590,660,740,850""], [""2.9"", ""385""], [""3"", ""385""], [""6.6"", ""385""]]",PARTIAL
3218,Ag-O-V,Ag-V,550.0,pvds,13,0,16,45,63,xrds,2nsr7-4pf32:20161115.135318.copied-20161204221744582PST.zip:105962737,wrefy-qff10,wrefy-qff10,[],PARTIAL
3220,Bi-Mn-O,Bi-Mn,610.0,pvds,13,0,16,32,0,xrds,rhajr-aj480:20161202.145230.copied-20161204221744582PST.zip:90230500,2b9ss-26v18;jz9jm-7mh81;kzd1t-zwn77;pz4s7-0fn84;r7qhq-1tn05;s176c-2yq73,,[],PARTIAL
3224,Nb-O-V,Nb-V,500.0,pvds,18,0,16,33,63,xrds,wjjxs-9tz09:20161115.134727.copied-20161204221744582PST.zip:126185550,yzvsn-y2c82,2jfh6-sj472,[],ADMIT
3227,Cr-O-V,Cr-V,610.0,pvds,13,0,15,17,63,xrds,252c6-x4624:20161130.110357.copied-20161204221744582PST.zip:101657171,z84hb-rzj28,bfwtw-1hx53,[],PARTIAL
3279,Mn-O-Sb,Mn-Sb,700.0,pvds,0,31,31,69,0,,,c5n8t-4kf32,,"[[""0"", ""385""], [""0"", ""387,451,515,603""], [""13"", ""385""], [""13"", ""385,455,515,590,660,740,850""]]",PARTIAL
3434,Fe-O-V,Fe-V,610.0,pvds,14,0,18,48,21,xrds,h27v6-gs878:20161115.134345.copied-20161204221744582PST.zip:67751882,n7g3d-nxy95,rkvwz-ygv72,[],PARTIAL
3437,Ce-O-V,Ce-V,500.0,pvds,11,0,15,30,0,xrds,x0z99-3jb94:20161115.134227.copied-20161204221744582PST.zip:71953082,h3n3v-drx14;pk90k-t7h35,,[],PARTIAL
3441,Cr-O-V,Cr-V,610.0,pvds,13,0,16,16,21,xrds,cdxk9-vxm67:20161115.134117.copied-20161204221744582PST.zip:79334879,kc2p0-hkd65,rnw6x-0p653,[],PARTIAL
3446,O-V-Zr,V-Zr,550.0,pvds,16,0,16,32,21,xrds,eagny-46h21:20161115.133543.copied-20161204221744582PST.zip:131020253,spqbq-2e587,spqbq-2e587,[],ADMIT
3448,Ni-O-V,Ni-V,550.0,pvds,20,0,16,18,21,xrds,f0njt-9hp98:20161115.130155.copied-20161204221744582PST.zip:152925687,e0e1t-ze126,abxy6-7mz30,[],ADMIT
3449,O-Ti-V,Ti-V,610.0,pvds,12,0,15,29,21,xrds,11jn7-r5d98:20161115.130034.copied-20161204221744582PST.zip:93997596,sh0hr-wy477;wymcj-cy021,h143p-b6718,[],PARTIAL
3451,O-Ta-V,Ta-V,550.0,pvds,12,0,15,29,63,xrds,p5jdx-2wj61:20161115.125719.copied-20161204221744582PST.zip:87617947,23z0b-sy798,23z0b-sy798,[],PARTIAL
3454,Ni-O-V,Ni-V,550.0,pvds,15,0,15,30,21,xrds,qemz8-17959:20161115.125619.copied-20161204221744582PST.zip:51425849,db2f4-44q41;ttw2c-hpf71,8gvmn-38r37,[],ADMIT
3455,Co-O-V,Co-V,550.0,pvds,16,0,16,46,21,xrds,3q0na-pxy83:20161115.125258.copied-20161204221744582PST.zip:14215421,tvwfp-93m85,0kxq6-zq189,[],ADMIT
3459,Bi-O-V,Bi-V,610.0,pvds,20,0,15,29,21,xrds,wxgfe-9gr32:20161130.100210.copied-20161204221744582PST.zip:160724301,9pm8x-97g06,aw3nj-x5f29,[],ADMIT
3509,O-Pb-V,Pb-V,300.0,pvds,14,0,15,30,63,xrds,xeg40-2hz69:20161115.124733.copied-20161204221744582PST.zip:88155761,6afyj-yed84,6afyj-yed84,[],PARTIAL
3514,Hf-O-V,Hf-V,550.0,pvds,13,0,16,31,21,xrds,07rrz-kjx69:20161115.124419.copied-20161204221744582PST.zip:140784216,q9jzg-sv043,q9jzg-sv043,[],PARTIAL
3523,O-Sn-V,Sn-V,550.0,pvds,11,0,16,31,21,xrds,j6npy-t7t75:20161115.124218.copied-20161204221744582PST.zip:145899699,at7rp-v0j44;fwhyx-dzq06,fsq6p-5c090,[],PARTIAL
3525,O-Si-V,Si-V,550.0,pvds,11,0,15,29,21,xrds,v9jbq-zs521:20161115.124018.copied-20161204221744582PST.zip:65027042,jenyw-4wy82;pqfpm-grd12,3xpw1-smk02,[],PARTIAL
3533,Hf-O-V,Hf-V,550.0,pvds,13,0,16,31,21,xrds,rnae5-5c613:20161115.123617.copied-20161204221744582PST.zip:73155896,zxffp-98039,m433w-pnv57,[],PARTIAL
3534,O-V-Zr,V-Zr,550.0,pvds,14,0,16,32,21,xrds,drphc-jaj30:20161115.123121.copied-20161204221744582PST.zip:190159757,rjy06-8gr06,5e8jd-c0657,[],PARTIAL
3574,Fe-Ni-O-V,Fe-Ni-V,610.0,pvds,149,0,218,218,1521,ssrl,2m6pb-9yd55:20170823.142340.copied-20170823234456363PDT.zip:4655787;wqat4-rez18:20171011.113421.copied-20171016151616488PDT.zip:8227955,9xah5-3c469;kzmhy-prn46,wy2qh-kmy76,[],ADMIT
3588,Cu-Fe-O-V,Cu-Fe-V,550.0,pvds,332,0,297,297,1521,ssrl,4qppd-yzn95:20171011.113441.copied-20171016151616488PDT.zip:18285496;rdc96-pms98:20170823.142848.copied-20170823234456363PDT.zip:10387818,asznf-t5572;h0a9y-g4753,83h1p-eyk12,[],ADMIT
3592,Bi-Fe-O-V,Bi-Fe-V,500.0,pvds,332,0,218,218,1521,ssrl,8ns6v-0ne53:20170823.143403.copied-20170823234456363PDT.zip:10298240;nzxnc-b2751:20171011.113505.copied-20171016151616488PDT.zip:18105954,evrkw-jdc45;z8yxp-seq77,76yq3-hyr68,[],ADMIT
3594,Cr-Fe-O-V,Cr-Fe-V,650.0,pvds,332,0,218,218,1521,ssrl,7qy17-9az58:20170823.143918.copied-20170823234456363PDT.zip:10262022;nt0bj-ndz68:20171011.130315.copied-20171016151616488PDT.zip:23123591,8kybw-xye18;fh9w1-nzt12,k4h3a-hc988,[],ADMIT
3925,Bi-Cu-O-V,Bi-Cu-V,610.0,pvds,296,0,296,296,0,xrds,35q97-9c841:20171019.120349.copied-20171108115531959PST.zip:1359440639;cdn3j-0w085:20171017.101645.copied-20171108115531959PST.zip:1355722308,8840k-1e763;j35as-c6b12;phvbw-t9682;q7r7v-02769;zm7wv-jqg09,,[],ADMIT
3928,Bi-Cu-O-V,Bi-Cu-V,550.0,pvds,296,0,294,294,0,xrds,qba6n-ses41:20171221.174144.copied-20171221222318533PST.zip:1506406201,bnevh-5jc10;f00qn-g5a54;fs5x8-pa518;pj1dm-wj226;s05p3-9bf03,,[],ADMIT
3930,Cu-O-V,Cu-V,550.0,pvds,20,0,19,19,296,xrds,9tp1t-2by03:20171221.163722.copied-20171221222318533PST.zip:92337099,j8khg-52152;n4nkb-se617,1g0xn-xhv23,[],ADMIT
3933,Bi-Cu-O,Bi-Cu,550.0,pvds,21,0,19,38,296,xrds,a7nq4-2yr73:20171221.164203.copied-20171221222318533PST.zip:182448064,27vw7-95z95;b0pt6-a3w09;xrff2-kqe69,pjnfv-fns06,[],ADMIT
4021,Mn-O-Zn,Mn-Zn,,,0,13,28,54,0,,,egfx0-56e26,,"[[""6.5"", ""385""]]",PARTIAL
4022,Mn-O-Zn,Mn-Zn,,,0,21,29,58,0,,,9zh4q-be031,,"[[""6.5"", ""385""]]",PARTIAL
4045,Bi-V-O+alloy(inkjet),Bi-V,,,0,314,1809,1809,0,,,pkeep-hm042,,"[[""6.6"", ""385""]]",PARTIAL
4135,Ca-Co-Mn-O,Ca-Co-Mn,,,317,0,191,191,1521,ssrl,s0zt4-jxn41:20171011.113600.copied-20171016151616488PDT.zip:17180082;w8rb9-0y207:20170823.144410.copied-20170823234456363PDT.zip:9835323,z3a6t-hwq64,2assj-09x59,[],ADMIT
4139,La-O-Sr-Ta,La-Sr-Ta,,,849,0,6,7,1521,ssrl,42eg5-dhr71:20171011.113628.copied-20171016151616488PDT.zip:45826917;8z1x4-f5w13:20170823.145724.copied-20170823234456363PDT.zip:26136531,esxf3-xsz78;s2p0j-55636;vw27g-m9s26,yfvjy-80444,[],PARTIAL
4226,Fe-O-Y,Fe-Y,,,0,19,28,52,0,,,m82mw-zvd73,,"[[""13"", ""385""], [""13"", ""387,455,516,602""], [""9.7"", ""385""]]",PARTIAL
4376,Bi-Cu-O-V,Bi-Cu-V,,,295,0,149,149,296,xrds,1rxty-jcs79:20171121.134609.copied-20171122221519255PST.zip:1237806381,0cbd7-zkv50,r8r1b-g2j17,[],ADMIT
