episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
2283_20200218.144324_CA4,Ni,2283,CA4,31,6.56164,0.1266,0.0065,15 12 8,0.29142,25 30 16,0.0065,21 15 12,0.29142,25 30 17,0.29142,25 30 17,0.00523,15 10 0
2283_20200218.162104_CA1,Ni,2283,CA1,29,0.60309,0.66422,0.99465,14 11 7,0.72978,23 28 14,0.93577,19 13 10,0.53306,23 28 16,0.53306,23 28 16,0.72978,14 8 0
2283_20200218.162104_CA4,Ni,2283,CA4,29,0.04173,0.40737,0.52833,14 11 7,0.38398,23 28 14,0.52977,19 13 10,0.27454,23 28 16,0.27454,23 28 16,0.38398,14 8 0
2286_20200218.144917_CA1,Fe,2286,CA1,29,0.22779,0.44021,0.33444,14 11 7,0.61684,0 5 10,0.07812,13 19 25,0.61684,0 6 12,0.61684,0 6 12,0.61684,23 0 5
2286_20200218.144917_CA2,Fe,2286,CA2,29,0.20867,0.41762,0.26243,14 11 7,0.63003,0 5 10,0.02469,13 19 27,0.63003,0 6 12,0.63003,0 6 12,0.63003,23 0 5
2286_20200302.142526_CA2,Fe,2286,CA2,30,0.63738,0.43629,0.69518,15 18 22,1.0,0 7 13,0.00529,14 20 26,1.0,0 8 14,1.0,0 8 14,1.0,24 0 6
2286_20200302.142526_CA4,Fe,2286,CA4,30,0.16159,0.42782,0.99961,15 0 5,0.99961,0 7 13,0.03574,14 20 29,0.99961,0 8 14,0.99961,0 8 14,0.99961,0 8 14
2297_20200218.144632_CA3,Pb,2297,CA3,29,0.02147,0.5348,0.17725,14 21 28,0.73235,0 5 16,0.21737,14 23 9,0.73235,0 5 18,0.73235,0 5 18,0.73235,0 5 18
2297_20200218.144632_CA4,Pb,2297,CA4,29,0.01052,0.52797,0.6369,14 21 8,0.77282,0 5 17,0.0835,14 23 9,0.77282,0 5 18,0.77282,0 5 18,0.77282,0 5 16
2297_20200302.142608_CA1,Pb,2297,CA1,30,0.07257,0.69567,0.99097,15 20 28,0.47612,0 5 2,0.80587,14 22 0,0.84621,0 5 19,0.84621,0 5 19,0.84621,0 5 19
2297_20200302.142608_CA3,Pb,2297,CA3,30,0.03496,0.44772,0.32807,15 20 7,0.89639,0 5 2,0.74698,14 22 3,0.89639,0 5 2,0.89639,0 5 2,0.89639,0 5 2
2298_20200218.144149_CA3,Co,2298,CA3,30,0.03689,0.40737,1.0,15 18 12,0.98641,14 9 0,0.11824,4 19 8,0.09104,24 19 0,0.98641,14 19 9,0.11499,24 29 17
2298_20200218.162149_CA1,Co,2298,CA1,29,0.09101,0.66602,0.84564,14 17 11,0.84564,0 14 9,0.57543,3 18 15,0.76367,19 28 0,0.84564,14 9 0,0.84564,23 14 11
2298_20200218.162149_CA3,Co,2298,CA3,29,0.0332,0.42391,0.87655,14 17 11,0.87655,0 14 9,0.81755,3 18 15,0.02129,19 28 0,0.87655,14 9 0,0.87655,23 14 11
2298_20200302.142742_CA1,Co,2298,CA1,30,0.24335,0.49596,1.0,15 12 18,0.94044,14 9 0,0.82169,4 20 16,0.20724,24 29 0,0.94044,14 19 9,1.0,19 15 29
2298_20200302.142742_CA2,Co,2298,CA2,30,0.14429,0.39623,0.99639,15 12 18,1.0,14 9 0,0.04477,4 20 0,0.05523,24 29 0,1.0,14 19 9,0.99639,19 15 29
2300_20200218.162234_CA1,Zn,2300,CA1,29,0.19627,0.74813,0.50859,14 18 10,0.50859,14 19 10,0.76963,16 0 7,0.50859,19 14 10,0.50859,19 14 10,0.50859,19 14 10
2300_20200218.162234_CA2,Zn,2300,CA2,29,0.01006,0.8346,0.84504,14 18 10,0.84504,14 19 10,0.68668,16 0 28,0.84504,19 14 10,0.84504,19 14 10,0.84504,19 14 10
2300_20200218.162234_CA3,Zn,2300,CA3,29,0.00495,0.61191,0.67761,14 18 10,0.67761,14 19 10,0.55405,16 0 7,0.67761,19 14 10,0.67761,19 14 10,0.67761,19 14 10
2300_20200218.162234_CA4,Zn,2300,CA4,29,0.00346,0.42949,1.0,14 18 27,0.62871,14 19 10,0.30693,16 0 9,0.62871,19 14 11,0.62871,19 14 11,0.62871,19 14 11
3519_20200218.150107_CA1,In,3519,CA1,28,0.11176,0.77103,0.6589,14 11 17,1.0,0 7 12,0.72302,15 6 19,1.0,0 7 12,1.0,0 7 12,1.0,0 7 12
3519_20200218.150107_CA2,In,3519,CA2,28,0.29579,0.21106,0.45692,14 11 8,0.45692,0 7 11,0.0734,15 6 18,0.45692,0 7 11,0.45692,0 7 11,0.45692,0 7 11
3519_20200218.16241_CA2,In,3519,CA2,29,0.02518,0.83544,0.89178,14 17 20,0.53925,0 7 11,0.95249,15 5 19,0.53925,0 7 11,0.53925,0 7 11,0.53925,0 7 11
3531_20200218.145313_CA1,Bi,3531,CA1,29,0.00591,0.72584,1.0,14 10 17,0.38428,9 0 23,0.87917,21 13 5,0.87917,0 9 13,0.87917,0 9 13,0.38428,0 9 23
3531_20200218.162319_CA3,Bi,3531,CA3,30,0.00031,0.45703,1.0,15 29 0,1.0,10 0 29,0.28438,14 5 22,1.0,0 10 17,1.0,0 10 17,1.0,0 10 29
3531_20200218.162319_CA4,Bi,3531,CA4,30,0.00065,0.3254,0.24776,15 11 18,0.61379,10 0 29,0.10807,14 5 22,0.35582,0 10 17,0.35582,0 10 17,0.61379,0 10 29
4014_20200218.15024_CA4,Ag,4014,CA4,30,0.2648,0.34943,0.15511,15 20 12,0.3622,19 12 9,0.44094,9 7 0,0.29291,19 11 14,0.29291,19 11 14,0.29291,19 11 14
4014_20200218.161037_CA2,Ag,4014,CA2,27,0.3717,0.66837,0.4341,13 18 9,0.4341,13 9 19,0.99236,5 0 26,0.4341,13 9 19,0.4341,13 9 19,0.4341,13 9 19
4014_20200218.161037_CA3,Ag,4014,CA3,27,0.13329,0.59726,0.36609,13 18 9,0.36609,13 9 18,0.92186,5 0 26,0.36609,13 9 18,0.36609,13 9 18,0.36609,13 9 18
4014_20200218.161037_CA4,Ag,4014,CA4,27,1.02755,0.14307,0.01094,13 18 9,0.01094,13 9 18,0.06204,5 0 26,0.01094,13 9 18,0.01094,13 9 18,0.01094,13 9 18
4014_20200318.204926_CA2,Ag,4014,CA2,29,0.89306,0.53499,0.45366,14 20 11,0.45366,14 28 11,0.97054,9 2 11,0.45366,14 28 11,0.45366,14 28 11,0.45366,14 28 11
4130_20200218.144235_CA3,Cu,4130,CA3,29,0.01759,0.50662,0.29562,14 11 7,0.21224,14 9 3,0.34496,15 12 8,0.29562,14 9 11,0.29562,14 9 11,0.22413,14 10 7
4130_20200218.144235_CA4,Cu,4130,CA4,29,0.01619,0.61785,0.35259,14 11 7,0.27793,14 9 0,0.43259,15 12 8,1.0,14 9 18,1.0,14 9 18,0.64963,14 10 6
4130_20200218.163122_CA2,Cu,4130,CA2,30,0.0158,0.34207,0.08275,15 12 8,0.09474,14 9 4,0.08275,15 12 8,0.16287,14 10 7,0.16287,14 10 7,0.09474,14 9 6
4130_20200218.163122_CA3,Cu,4130,CA3,30,0.00354,0.49762,0.04162,15 0 5,0.4054,14 9 4,0.04162,15 0 5,0.4054,14 10 7,0.4054,14 10 7,0.4054,14 9 6
4130_20220623.180314_CA1,Cu,4130,CA1,20,0.10488,0.65019,0.81848,10 13 7,0.70383,10 6 1,0.81848,10 7 4,0.70383,10 6 1,0.70383,10 6 1,0.70383,10 6 1
5406_20200218.143845_CA1,Cr,5406,CA1,29,0.05329,0.71105,0.53574,14 17 21,0.88719,9 19 25,0.60936,14 19 22,0.88719,9 25 20,0.88719,9 25 20,0.88719,9 25 20
5406_20200218.143845_CA4,Cr,5406,CA4,29,0.44042,0.19479,0.06112,14 17 10,0.06082,9 19 28,0.06112,14 19 10,0.06243,9 25 20,0.06243,9 25 20,0.06243,9 25 20
5406_20200218.162452_CA1,Cr,5406,CA1,28,0.07627,0.62054,0.54033,14 11 18,1.0,9 27 20,0.70379,13 19 24,1.0,9 27 22,1.0,9 27 22,1.0,9 27 22
5406_20200218.162452_CA2,Cr,5406,CA2,28,0.02237,0.67434,0.72573,14 11 18,1.0,9 27 20,0.77612,13 19 25,1.0,9 27 22,1.0,9 27 22,1.0,9 27 22
5407_20200218.144415_CA4,Cr,5407,CA4,29,0.03181,0.82984,0.8405,14 11 18,0.8405,9 14 18,0.8405,14 20 22,0.91365,9 14 0,0.91365,9 14 0,0.91365,9 14 0
5407_20200218.162628_CA1,Cr,5407,CA1,28,0.13483,0.53639,0.54613,14 18 21,0.29605,9 18 14,0.90807,13 19 23,0.29605,9 0 18,0.29605,9 0 18,0.29605,9 0 18
5415_20200218.143926_CA4,Fe,5415,CA4,30,0.01784,0.45378,0.30733,15 12 18,1.0,24 0 5,0.08944,13 19 24,1.0,24 16 0,1.0,24 16 0,1.0,24 16 0
5415_20200218.161125_CA2,Fe,5415,CA2,30,0.055,0.35836,0.09431,15 19 11,1.0,24 29 0,0.09057,12 18 26,0.14418,24 29 16,0.14418,24 29 16,0.14418,24 29 16
5415_20200218.161125_CA4,Fe,5415,CA4,30,0.01297,0.32182,0.43957,15 0 5,0.62593,24 29 0,0.06617,12 19 24,0.62593,24 29 16,0.62593,24 29 16,0.62593,24 29 16
5415_20220623.175729_CA2,Fe,5415,CA2,22,0.19351,0.46714,0.13642,11 9 7,1.0,18 0 4,0.01917,10 13 16,1.0,18 14 0,1.0,18 14 0,1.0,18 14 0
5417_20200218.145212_CA4,Zn,5417,CA4,30,0.01727,0.19424,0.2375,15 19 12,0.03264,19 29 12,0.05674,16 0 23,0.03264,19 29 12,0.03264,19 29 12,0.0,19 29 11
5417_20200218.16281_CA2,Zn,5417,CA2,26,0.03754,0.50021,0.87572,13 10 7,0.28473,17 25 13,0.28473,13 0 14,0.87572,17 13 10,0.87572,17 13 10,0.28473,17 25 13
5418_20200218.145757_CA2,In,5418,CA2,28,0.04844,0.80717,0.7449,14 11 18,0.79568,0 8 11,0.84276,15 6 19,0.79568,0 8 11,0.79568,0 8 11,0.79568,0 8 11
5418_20200218.162858_CA3,In,5418,CA3,30,0.00573,0.38457,0.17167,15 12 18,0.24167,0 10 13,0.095,17 7 23,0.24167,0 10 13,0.24167,0 10 13,0.24167,0 10 13
5435_20200218.14454_CA3,Pb,5435,CA3,29,0.03973,0.41178,0.0106,14 18 10,0.68056,0 5 14,1.0,8 13 3,0.68056,14 0 5,0.68056,14 0 5,0.68056,0 5 14
5435_20200218.163032_CA3,Pb,5435,CA3,29,0.09339,0.39214,0.00253,14 10 19,0.49785,0 5 14,0.29353,8 13 6,0.49785,14 0 5,0.49785,14 0 5,0.49785,0 5 14
5435_20220623.112423_CA1,Pb,5435,CA1,29,0.04524,0.25147,0.02136,14 18 10,0.49496,0 14 6,0.58117,8 13 2,1.0,14 0 7,1.0,14 0 7,0.49496,0 14 6
5435_20220623.112423_CA2,Pb,5435,CA2,29,0.02086,0.21377,0.01798,14 18 10,0.497,0 14 6,0.4041,8 13 1,1.0,14 0 7,1.0,14 0 7,0.497,0 14 6
5435_20220623.112423_CA3,Pb,5435,CA3,29,0.00827,0.33994,0.59367,14 0 4,0.59367,0 5 14,0.69393,8 13 2,0.59367,14 0 5,0.59367,14 0 5,0.59367,0 5 14
5436_20200218.145045_CA4,Y,5436,CA4,29,0.14539,0.83635,0.78544,14 18 22,0.97464,9 0 16,0.7062,24 15 28,0.97464,9 0 16,0.97464,9 0 16,0.97464,9 0 17
5436_20220623.173226_CA2,Y,5436,CA2,29,0.00076,0.30913,0.35617,14 9 18,0.42466,9 28 24,0.0274,22 26 15,0.12329,9 17 20,0.12329,9 17 20,0.12329,9 17 20
5436_20220623.173226_CA3,Y,5436,CA3,29,0.00142,0.4936,1.0,14 28 21,0.78461,9 0 16,0.0,23 15 28,0.78461,9 0 15,0.78461,9 0 15,0.78461,9 0 16
5436_20220623.173226_CA4,Y,5436,CA4,29,0.004,0.34015,0.02083,14 9 18,0.34375,9 28 23,0.54167,23 15 27,0.02083,9 17 20,0.02083,9 17 20,0.02083,9 17 20
5439_20200325.131306_CA1,Mg,5439,CA1,30,0.08671,0.36212,0.00906,15 12 18,0.00906,10 0 17,1.0,24 14 29,1.0,24 29 0,0.00914,0 11 19,0.00906,10 0 17
5439_20200325.131306_CA2,Mg,5439,CA2,30,0.00668,0.29616,0.02253,15 12 18,0.03248,10 0 17,0.82999,24 14 29,0.82999,24 29 0,0.03248,0 10 19,0.03248,10 0 18
5440_20200218.144829_CA1,Co,5440,CA1,28,0.04477,0.5299,0.08477,14 11 17,1.0,22 27 17,0.14073,3 20 17,0.9273,0 26 21,1.0,22 27 17,1.0,22 27 0
5440_20200218.162947_CA3,Co,5440,CA3,30,0.02443,0.46404,0.48064,15 0 29,0.80015,19 29 24,0.16425,2 6 10,0.80015,24 19 0,0.80015,19 29 24,0.80015,24 19 29
5445_20220623.175015_CA4,Al,5445,CA4,21,0.01159,0.44504,0.94964,10 20 16,0.16187,0 5 9,0.01799,10 7 4,0.94964,13 10 16,0.94964,13 10 16,1.0,17 13 9
5717_20200218.161211_CA2,Fe,5717,CA2,30,0.54386,0.42513,0.6784,15 0 5,0.6784,0 6 11,0.01802,12 19 23,0.6784,0 6 12,0.6784,0 6 12,0.6784,0 6 12
5929_20220623.1809_CA4,La,5929,CA4,29,0.68034,0.10941,0.01992,14 18 10,1.0,14 0 28,0.00968,12 25 19,1.0,14 0 8,0.0,23 28 17,1.0,14 0 8
5930_20200325.131034_CA1,Mg,5930,CA1,27,0.01782,0.45623,0.969,13 26 23,0.02046,9 0 16,0.969,23 12 18,0.82309,22 26 18,0.02046,9 17 0,0.02046,0 12 17
