episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
2283_20200218.144324_CA1,base,Ni-Sb,2283,31,1,2.40065073593074,0.267,0.24452,0.44843,0.24452,0.44843,0.44843,0.21787,Ni-Sb
2283_20200218.144324_CA2,base,Ni-Sb,2283,31,1,2.77524226232483,0.24055,0.10398,0.99605,0.10398,0.99605,0.99605,0.08668,Ni-Sb
2283_20200218.144324_CA4,base,Ni-Sb,2283,31,1,6.56164214523018,0.1266,0.0065,0.29142,0.0065,0.29142,0.29142,0.00523,Ni-Sb
2283_20200218.162104_CA1,base,Ni-Sb,2283,29,1,0.603094637140514,0.66422,0.99465,0.72978,0.93577,0.53306,0.53306,0.72978,Ni-Sb
2283_20200218.162104_CA4,base,Ni-Sb,2283,29,1,0.0417275422885572,0.40737,0.52833,0.38398,0.52977,0.27454,0.27454,0.38398,Ni-Sb
2286_20200218.144917_CA1,base,Fe-Sb,2286,29,1,0.227785316017316,0.44021,0.33444,0.61684,0.07812,0.61684,0.61684,0.61684,Fe-Sb
2286_20200218.144917_CA2,base,Fe-Sb,2286,29,1,0.208667285008569,0.41762,0.26243,0.63003,0.02469,0.63003,0.63003,0.63003,Fe-Sb
2286_20200302.142526_CA2,base,Fe-Sb,2286,30,1,0.637376751688678,0.43629,0.69518,1.0,0.00529,1.0,1.0,1.0,Fe-Sb
2286_20200302.142526_CA4,base,Fe-Sb,2286,30,1,0.161588813559322,0.42782,0.99961,0.99961,0.03574,0.99961,0.99961,0.99961,Fe-Sb
2297_20200218.144632_CA3,base,Pb-Sb,2297,29,1,0.0214714453355846,0.5348,0.17725,0.73235,0.21737,0.73235,0.73235,0.73235,Pb-Sb
2297_20200218.144632_CA4,base,Pb-Sb,2297,29,1,0.0105237668090492,0.52797,0.6369,0.77282,0.0835,0.77282,0.77282,0.77282,Pb-Sb
2297_20200302.142608_CA1,base,Pb-Sb,2297,30,1,0.0725695238095238,0.69567,0.99097,0.47612,0.80587,0.84621,0.84621,0.84621,Pb-Sb
2297_20200302.142608_CA3,base,Pb-Sb,2297,30,1,0.0349605149852258,0.44772,0.32807,0.89639,0.74698,0.89639,0.89639,0.89639,Pb-Sb
2298_20200218.144149_CA3,base,Co-Sb,2298,30,1,0.0368906542845082,0.40737,1.0,0.98641,0.11824,0.09104,0.98641,0.11499,Co-Sb
2298_20200218.144149_CA4,base,Co-Sb,2298,30,1,0.0239901059958867,0.51339,0.60648,1.0,0.80664,0.51704,1.0,0.19421,Co-Sb
2298_20200218.162149_CA3,base,Co-Sb,2298,29,1,0.0332024188626907,0.42391,0.87655,0.87655,0.81755,0.02129,0.87655,0.87655,Co-Sb
2298_20200218.162149_CA4,base,Co-Sb,2298,29,1,0.0137092179104478,0.36702,0.48375,0.48375,0.355,0.04625,0.48375,0.48375,Co-Sb
2298_20200302.142742_CA1,base,Co-Sb,2298,30,1,0.243348121212121,0.49596,1.0,0.94044,0.82169,0.20724,0.94044,1.0,Co-Sb
2298_20200302.142742_CA2,base,Co-Sb,2298,30,1,0.144285794939006,0.39623,0.99639,1.0,0.04477,0.05523,1.0,0.99639,Co-Sb
2298_20200302.142742_CA3,base,Co-Sb,2298,30,1,0.0785141409877585,0.43967,1.0,0.91806,0.69861,0.04625,0.91806,0.91806,Co-Sb
2300_20200218.144726_CA4,base,Sb-Zn,2300,28,1,0.0107378095238095,0.35947,0.11456,0.32039,0.59418,0.33204,0.33204,0.33204,Sb-Zn
2300_20200218.162234_CA2,base,Sb-Zn,2300,29,1,0.0100637472283814,0.8346,0.84504,0.84504,0.68668,0.84504,0.84504,0.84504,Sb-Zn
2300_20200218.162234_CA3,base,Sb-Zn,2300,29,1,0.0049492911696717,0.61191,0.67761,0.67761,0.55405,0.67761,0.67761,0.67761,Sb-Zn
3519_20200218.150107_CA1,base,In-Sb,3519,28,1,0.111761038961039,0.77103,0.6589,1.0,0.72302,1.0,1.0,1.0,In-Sb
