episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
2283_20200218.144324_CA1,base,Ni-Sb,2283,31,1,2.40065073593074,0.267,0.24452,0.44843,0.24452,0.44843,0.44843,0.21787,Ni-Sb
2283_20200218.144324_CA2,base,Ni-Sb,2283,31,1,2.77524226232483,0.24055,0.10398,0.99605,0.10398,0.99605,0.99605,0.08668,Ni-Sb
2283_20200218.144324_CA3,base,Ni-Sb,2283,31,1,5.77953060363022,0.11247,0.02109,0.05285,0.02109,0.05285,0.05285,0.01716,Ni-Sb
2283_20200218.144324_CA4,base,Ni-Sb,2283,31,1,6.56164214523018,0.1266,0.0065,0.29142,0.0065,0.29142,0.29142,0.00523,Ni-Sb
2283_20200218.162104_CA1,base,Ni-Sb,2283,29,1,0.603094637140514,0.66422,0.99465,0.72978,0.93577,0.53306,0.53306,0.72978,Ni-Sb
2283_20200218.162104_CA2,base,Ni-Sb,2283,29,1,0.333050997782705,0.66585,1.0,0.77937,0.97211,0.49008,0.49008,0.77937,Ni-Sb
2283_20200218.162104_CA3,base,Ni-Sb,2283,29,1,0.126293111419325,0.66566,1.0,0.73998,0.9658,0.17257,0.17257,0.75148,Ni-Sb
2283_20200218.162104_CA4,base,Ni-Sb,2283,29,1,0.0417275422885572,0.40737,0.52833,0.38398,0.52977,0.27454,0.27454,0.38398,Ni-Sb
2283_20200302.142435_CA1,base,Ni-Sb,2283,30,1,1.59486545454545,0.69749,0.95826,0.03664,1.0,0.65417,0.65417,1.0,Ni-Sb
2283_20200302.142435_CA2,base,Ni-Sb,2283,30,1,0.83966839399133,0.69141,1.0,0.01836,0.99392,0.54299,0.54299,0.99392,Ni-Sb
2283_20200302.142435_CA3,base,Ni-Sb,2283,30,1,0.319290840016885,0.66989,1.0,0.01298,0.98019,0.72575,0.72575,0.98019,Ni-Sb
2283_20200302.142435_CA4,base,Ni-Sb,2283,30,1,0.102582728006457,0.68851,1.0,0.47561,0.19512,0.32317,0.32317,0.9878,Ni-Sb
2286_20200218.144917_CA1,base,Fe-Sb,2286,29,1,0.227785316017316,0.44021,0.33444,0.61684,0.07812,0.61684,0.61684,0.61684,Fe-Sb
2286_20200218.144917_CA2,base,Fe-Sb,2286,29,1,0.208667285008569,0.41762,0.26243,0.63003,0.02469,0.63003,0.63003,0.63003,Fe-Sb
2286_20200218.144917_CA3,base,Fe-Sb,2286,29,1,0.156504854368932,0.418,0.11399,0.6829,0.06304,0.6829,0.6829,0.6829,Fe-Sb
2286_20200218.144917_CA4,base,Fe-Sb,2286,29,1,0.0734211042556558,0.42663,0.82199,0.82199,0.0,0.82199,0.82199,0.82199,Fe-Sb
2286_20200218.160907_CA1,base,Fe-Sb,2286,30,1,0.106864685076016,0.64002,0.64529,0.68781,0.30456,0.64529,0.64529,0.70157,Fe-Sb
2286_20200218.160907_CA2,base,Fe-Sb,2286,30,1,0.0978296703296703,0.56746,0.54568,0.64046,0.15979,0.64046,0.64046,0.64364,Fe-Sb
2286_20200218.160907_CA3,base,Fe-Sb,2286,30,1,0.075042071197411,0.56312,0.39025,0.70601,0.11052,0.70601,0.70601,0.70601,Fe-Sb
2286_20200218.160907_CA4,base,Fe-Sb,2286,30,1,0.0238279661016949,0.54502,0.41678,0.70489,0.17273,0.70489,0.70489,0.70489,Fe-Sb
2286_20200302.142526_CA1,base,Fe-Sb,2286,30,1,0.720246753246753,0.37012,0.05913,1.0,0.02382,1.0,1.0,1.0,Fe-Sb
2286_20200302.142526_CA2,base,Fe-Sb,2286,30,1,0.637376751688678,0.43629,0.69518,1.0,0.00529,1.0,1.0,1.0,Fe-Sb
2286_20200302.142526_CA3,base,Fe-Sb,2286,30,1,0.473495230054876,0.39222,1.0,1.0,0.01405,1.0,1.0,1.0,Fe-Sb
2286_20200302.142526_CA4,base,Fe-Sb,2286,30,1,0.161588813559322,0.42782,0.99961,0.99961,0.03574,0.99961,0.99961,0.99961,Fe-Sb
