episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
2283_20200218.144324_CA1,Ni,2283,CA1,31,2.40065,0.267,0.24452,15 12 8,0.44843,25 30 16,0.24038,21 14 11,0.44843,25 30 17,0.44843,25 30 17,0.21787,15 10 0
2283_20200218.144324_CA2,Ni,2283,CA2,31,2.77524,0.24055,0.10398,15 12 8,0.99605,25 30 16,0.09619,21 14 11,0.99605,25 30 17,0.99605,25 30 17,0.08668,15 10 0
2283_20200218.144324_CA3,Ni,2283,CA3,31,5.77953,0.11247,0.02109,15 12 8,0.05285,25 30 16,0.01978,21 14 11,0.05285,25 30 17,0.05285,25 30 17,0.01716,15 10 0
2283_20200218.144324_CA4,Ni,2283,CA4,31,6.56164,0.1266,0.0065,15 12 8,0.29142,25 30 16,0.00598,21 14 11,0.29142,25 30 17,0.29142,25 30 17,0.00523,15 10 0
2283_20200218.162104_CA1,Ni,2283,CA1,29,0.60309,0.66422,0.99465,14 11 7,0.72978,23 28 14,1.0,19 12 9,0.53306,23 28 16,0.53306,23 28 16,0.72978,14 8 0
2283_20200218.162104_CA2,Ni,2283,CA2,29,0.33305,0.66585,1.0,14 11 7,0.77937,23 28 14,0.97502,19 12 9,0.49008,23 28 16,0.49008,23 28 16,0.77937,14 8 0
2283_20200218.162104_CA3,Ni,2283,CA3,29,0.12629,0.66566,1.0,14 11 7,0.73998,23 28 14,0.98608,19 12 9,0.17257,23 28 18,0.17257,23 28 18,0.75148,14 8 0
2283_20200218.162104_CA4,Ni,2283,CA4,29,0.04173,0.40737,0.52833,14 11 7,0.38398,23 28 14,0.48747,19 12 9,0.27454,23 28 16,0.27454,23 28 16,0.38398,14 8 0
2283_20200302.142435_CA1,Ni,2283,CA1,30,1.59487,0.69749,0.95826,15 12 8,0.03664,24 29 0,1.0,20 14 11,0.65417,24 29 17,0.65417,24 29 17,1.0,14 9 0
2283_20200302.142435_CA2,Ni,2283,CA2,30,0.83967,0.69141,1.0,15 12 8,0.01836,24 29 0,0.99392,20 14 11,0.54299,24 29 17,0.54299,24 29 17,0.99392,14 9 0
2283_20200302.142435_CA3,Ni,2283,CA3,30,0.31929,0.66989,1.0,15 12 8,0.01298,24 29 0,0.98019,20 14 11,0.72575,24 29 16,0.72575,24 29 16,0.98019,14 9 0
2283_20200302.142435_CA4,Ni,2283,CA4,30,0.10258,0.68851,1.0,15 12 8,0.47561,24 29 17,0.19512,20 0 5,0.32317,24 29 18,0.32317,24 29 18,0.9878,14 9 0
2286_20200218.144917_CA1,Fe,2286,CA1,29,0.22779,0.44021,0.33444,14 11 7,0.61684,0 5 10,0.07812,13 19 25,0.61684,0 6 12,0.61684,0 6 12,0.61684,23 0 5
2286_20200218.144917_CA2,Fe,2286,CA2,29,0.20867,0.41762,0.26243,14 11 7,0.63003,0 5 10,0.02469,13 19 26,0.63003,0 6 12,0.63003,0 6 12,0.63003,23 0 5
2286_20200218.144917_CA3,Fe,2286,CA3,29,0.1565,0.418,0.11399,14 11 17,0.6829,0 5 10,0.06304,13 19 28,0.6829,0 6 12,0.6829,0 6 12,0.6829,23 0 5
2286_20200218.144917_CA4,Fe,2286,CA4,29,0.07342,0.42663,0.82199,14 0 4,0.82199,0 5 10,0.11133,13 20 26,0.82199,0 6 12,0.82199,0 6 12,0.82199,0 6 12
2286_20200218.160907_CA1,Fe,2286,CA1,30,0.10686,0.64002,0.64529,15 12 8,0.68781,0 7 12,0.30456,14 20 26,0.64529,0 8 14,0.64529,0 8 14,0.70157,24 0 6
2286_20200218.160907_CA2,Fe,2286,CA2,30,0.09783,0.56746,0.54568,15 12 8,0.64046,0 7 12,0.15979,14 20 29,0.64046,0 8 14,0.64046,0 8 14,0.64364,24 0 6
2286_20200218.160907_CA3,Fe,2286,CA3,30,0.07504,0.56312,0.39025,15 12 9,0.70601,0 7 12,0.11052,14 21 27,0.70601,0 8 14,0.70601,0 8 14,0.70601,24 0 6
