cluster,cls,fmv,f1,f2,f3,n,policy,oracle,chance
Ag-Sb,0.325398,0.31154000000000004,6.0,0.5,0.3125,5,0.31154000000000004,0.325398,0.318469
Ag-V,0.8920600000000001,0.67749,16.0,0.875,0.6571,2,0.67749,0.8920600000000001,0.784775
Al-Sb,0.09700500000000001,0.881495,2.0,0.0,0.125,2,0.09700500000000001,0.881495,0.48925
Ba-Mn,0.018744999999999998,0.014414999999999999,26.0,0.9230769230769231,0.6389,2,0.018744999999999998,0.018744999999999998,0.016579999999999998
Bi-Sb,0.6665525,0.7257825,4.0,1.0,0.42310000000000003,4,0.6665525,0.7257825,0.6961675
Ca-Mn,0.4147423076923077,0.2606807692307692,72.07692307692308,0.6395924536168439,0.8823461538461539,13,0.4147423076923077,0.4147423076923077,0.33771153846153845
Co-Sb,0.8955454545454544,0.3272090909090909,9.0,0.5555555555555556,0.5,11,0.3272090909090909,0.8955454545454544,0.6113772727272726
Co-V,0.8692,0.8692,12.0,1.0,0.4333,2,0.8692,0.8692,0.8692
Cr-Sb,0.6321242857142858,0.6428042857142857,2.0,1.0,0.1667,7,0.6321242857142858,0.6428042857142857,0.6374642857142858
Cu-Sb,0.338828,0.513544,4.0,0.25,0.09529999999999997,5,0.338828,0.513544,0.426186
Fe-Sb,0.8455316666666667,0.6358866666666666,4.0,1.0,0.1667,12,0.6358866666666666,0.8455316666666667,0.7407091666666666
Ge-Mn,0.99031,0.95315,6.0,0.8333333333333334,0.375,1,0.95315,0.99031,0.97173
In-Sb,0.63070875,0.65929,3.0,1.0,0.41069999999999995,8,0.63070875,0.65929,0.644999375
La-Sb,0.5,0.50546,8.0,0.5,0.5833,2,0.5,0.50546,0.50273
Mg-Mn,0.303545,0.3064175,46.0,0.9347826086956522,0.7142,4,0.303545,0.3064175,0.30498125
Mg-Sb,0.097565,0.862595,3.0,0.6666666666666666,0.3334,4,0.097565,0.862595,0.48008
Mn-Sb,0.7134199999999999,0.48405,12.0,0.4166666666666667,0.41669999999999996,2,0.7134199999999999,0.7134199999999999,0.598735
Mn-Sr,0.860975,0.362245,24.0,0.75,0.5417000000000001,2,0.860975,0.860975,0.61161
Mn-Y,0.5447000000000001,0.47775666666666666,5.0,0.8000000000000002,0.1667,3,0.47775666666666666,0.5447000000000001,0.5112283333333334
Nb-V,0.897405,0.83179,17.0,1.0,0.65,2,0.83179,0.897405,0.8645975
Ni-Sb,0.569932,0.5086999999999999,1.0,0.0,0.0,5,0.5086999999999999,0.569932,0.5393159999999999
Ni-V,0.3320268518518518,0.39061018518518514,39.22222222222222,0.8446506009267651,0.8069018518518519,54,0.3320268518518518,0.39061018518518514,0.3613185185185185
Pb-Sb,0.6268577777777778,0.7799833333333334,3.0,0.6666666666666666,0.1667,9,0.6268577777777778,0.7799833333333334,0.7034205555555556
Sb-Y,0.5742499999999999,0.449392,3.0,0.6666666666666666,0.375,5,0.449392,0.5742499999999999,0.511821
Sb-Zn,0.43704,0.53546,4.0,0.75,0.4445,8,0.43704,0.53546,0.48625
V-Zr,0.292755,0.58275,6.0,1.0,0.6042000000000001,2,0.292755,0.58275,0.4377525
