episode_id,cluster
2283_20200218.144324_CA1,Ni-Sb
2283_20200218.144324_CA2,Ni-Sb
2283_20200218.144324_CA4,Ni-Sb
2283_20200218.162104_CA1,Ni-Sb
2283_20200218.162104_CA4,Ni-Sb
2286_20200218.144917_CA1,Fe-Sb
2286_20200218.144917_CA2,Fe-Sb
2286_20200302.142526_CA2,Fe-Sb
2286_20200302.142526_CA4,Fe-Sb
2297_20200218.144632_CA3,Pb-Sb
2297_20200218.144632_CA4,Pb-Sb
2297_20200302.142608_CA1,Pb-Sb
2297_20200302.142608_CA3,Pb-Sb
2298_20200218.144149_CA3,Co-Sb
2298_20200218.144149_CA4,Co-Sb
2298_20200218.162149_CA3,Co-Sb
2298_20200218.162149_CA4,Co-Sb
2298_20200302.142742_CA1,Co-Sb
2298_20200302.142742_CA2,Co-Sb
2298_20200302.142742_CA3,Co-Sb
2300_20200218.144726_CA4,Sb-Zn
2300_20200218.162234_CA2,Sb-Zn
2300_20200218.162234_CA3,Sb-Zn
3519_20200218.150107_CA1,In-Sb
3519_20200218.150107_CA2,In-Sb
3519_20200218.16241_CA2,In-Sb
3519_20200218.16241_CA3,In-Sb
3531_20200218.145313_CA1,Bi-Sb
3531_20200218.145313_CA3,Bi-Sb
3531_20200218.162319_CA3,Bi-Sb
4014_20200218.161037_CA2,Ag-Sb
4014_20200218.161037_CA3,Ag-Sb
4014_20200218.161037_CA4,Ag-Sb
4130_20200218.144235_CA4,Cu-Sb
4130_20200218.163122_CA2,Cu-Sb
4130_20200218.163122_CA3,Cu-Sb
4130_20220623.180314_CA1,Cu-Sb
5406_20200218.143845_CA1,Cr-Sb
5406_20200218.143845_CA4,Cr-Sb
5406_20200218.162452_CA2,Cr-Sb
5407_20200218.144415_CA4,Cr-Sb
5407_20200218.162628_CA1,Cr-Sb
5407_20200218.162628_CA3,Cr-Sb
5415_20200218.143926_CA1,Fe-Sb
5415_20200218.143926_CA2,Fe-Sb
5415_20200218.143926_CA4,Fe-Sb
5415_20200218.161125_CA2,Fe-Sb
5415_20200218.161125_CA4,Fe-Sb
5415_20220623.175729_CA2,Fe-Sb
5417_20200218.145212_CA3,Sb-Zn
5417_20200218.145212_CA4,Sb-Zn
5417_20200218.16281_CA2,Sb-Zn
5418_20200218.145757_CA2,In-Sb
5418_20200218.145757_CA3,In-Sb
5418_20200218.162858_CA1,In-Sb
5418_20200218.162858_CA3,In-Sb
5435_20200218.163032_CA3,Pb-Sb
5435_20220623.112423_CA1,Pb-Sb
5435_20220623.112423_CA2,Pb-Sb
5435_20220623.112423_CA3,Pb-Sb
5436_20200218.145045_CA4,Sb-Y
5436_20220623.173226_CA1,Sb-Y
5436_20220623.173226_CA2,Sb-Y
5436_20220623.173226_CA3,Sb-Y
5436_20220623.173226_CA4,Sb-Y
5439_20200325.131306_CA1,Mg-Sb
5439_20200325.131306_CA2,Mg-Sb
5440_20200218.144829_CA1,Co-Sb
5440_20200218.162947_CA3,Co-Sb
5445_20220623.175015_CA3,Al-Sb
5717_20200218.145716_CA3,Fe-Sb
5717_20200218.161211_CA2,Fe-Sb
5929_20220623.1809_CA1,La-Sb
5930_20200325.131034_CA1,Mg-Sb
5930_20200325.131034_CA2,Mg-Sb
P2783_20170802.120418_387nm,Ni-V
P2783_20170802.120418_455nm,Ni-V
P2783_20170802.120418_516nm,Ni-V
P2783_20170802.120418_602nm,Ni-V
P3046_20160610.142512_385nm,Ba-Mn
P3046_20170421.180200_385nm,Ba-Mn
P3050_20160613.162428_385nm,Ca-Mn
P3050_20170421.174859_385nm,Ca-Mn
P3051_20160610.163705_385nm,Mn-Sr
P3051_20170427.113107_385nm,Mn-Sr
P3059_20160613.123458_385nm,Mg-Mn
P3059_20170427.114426_385nm,Mg-Mn
P3059_20170503.135031_385nm,Mg-Mn
P3059_20170505.103904_385nm,Mg-Mn
P3067_20160711.160613_385nm,Mn-Y
P3071_20171207.112942_385nm,Ge-Mn
P3072_20160818.173325_385nm,Mn-Sb
P3072_20160909.143914_385nm,Mn-Sb
P3102_20170824.101709_387nm,Ni-V
P3102_20170824.101709_455nm,Ni-V
P3102_20170824.101709_516nm,Ni-V
P3102_20170824.101709_602nm,Ni-V
P3106_20171005.104558_387nm,Ni-V
