episode_id,cluster,bare,bare_consultations,classical,classical_consultations,fm_forced,fm_forced_consultations
4130_20200218.144235_CA3,Cu-Sb,0.2241290640436653,0,0.7527007189912501,0,0.8372149641224681,3
P4135_20170727.133340_387nm,Ca-Mn,0.00891195530726257,0,0.00891195530726257,0,0.00891195530726257,3
2298_20200218.144149_CA2,Co-Sb,0.16841693553947604,0,0.19655264240352016,0,0.19110377737569076,3
5406_20200218.162452_CA1,Cr-Sb,1.0,0,0.5903326130564639,0,1.0,3
2300_20200218.162234_CA1,Sb-Zn,0.43734057668198995,0,0.9936369967962142,0,0.9936369967962142,3
P3574_20170802.123609_455nm,Ni-V,0.5131731958762886,0,0.5131731958762886,0,0.5131731958762886,3
5929_20220623.1809_CA4,La-Sb,0.004780888215478222,0,0.0,0,0.002758204739698901,3
5445_20220623.175015_CA4,Al-Sb,0.9496389213828513,0,0.16187027069025148,0,0.10071913565591892,3
P3112_20170609.172808_385nm,Mn-Y,0.08354447300146431,0,1.0,0,1.0,3
4014_20200318.204926_CA2,Ag-Sb,0.9705448818897636,0,1.0,0,1.0,3
