episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks,low,best_cls
2283_20200218.144324_CA3,Ni,2283,CA3,31,5.77953,0.18019,0.05285,15 12 8 20 30,0.05285,25 30 16 11 5,0.02109,21 15 12 8 0,0.05285,25 30 17 11 5,0.05285,25 30 17 11 5,0.01716,15 10 0 20 6,False,0.05285
2283_20200218.162104_CA2,Ni,2283,CA2,29,0.33305,0.8128,1.0,14 11 7 19 0,1.0,23 28 14 11 7,0.97211,19 13 10 6 0,0.97211,23 28 16 13 10,0.97211,23 28 16 13 10,1.0,14 8 0 11 19,False,1.0
2283_20200218.162104_CA3,Ni,2283,CA3,29,0.12629,0.81489,1.0,14 11 7 19 0,1.0,23 28 14 11 7,0.9658,19 13 10 6 0,0.96611,23 28 18 15 12,0.96611,23 28 18 15 12,1.0,14 8 0 11 19,False,1.0
2283_20200302.142435_CA1,Ni,2283,CA1,30,1.59487,0.84291,0.95826,15 12 8 19 2,0.86885,24 29 0 6 10,1.0,20 14 11 7 0,1.0,24 29 17 14 11,1.0,24 29 17 14 11,1.0,14 9 0 18 12,False,0.95826
2283_20200302.142435_CA2,Ni,2283,CA2,30,0.83967,0.84402,1.0,15 12 8 19 2,0.75614,24 29 0 5 9,0.99392,20 14 11 7 0,0.99392,24 29 17 14 11,0.99392,24 29 17 14 11,1.0,14 9 0 18 12,False,1.0
2283_20200302.142435_CA3,Ni,2283,CA3,30,0.31929,0.82483,1.0,15 12 8 19 1,0.74078,24 29 0 5 9,0.98019,20 14 11 7 0,0.97985,24 29 16 13 9,0.97985,24 29 16 13 9,1.0,14 9 0 18 12,False,1.0
2283_20200302.142435_CA4,Ni,2283,CA4,30,0.10258,0.83507,1.0,15 12 8 19 1,0.9878,24 29 17 14 11,1.0,20 0 5 9 12,1.0,24 29 18 15 12,1.0,24 29 18 15 12,1.0,14 9 0 18 12,False,1.0
2286_20200218.144917_CA3,Fe,2286,CA3,29,0.1565,0.56633,0.56153,14 11 17 21 3,0.6829,0 5 10 16 28,0.8649,13 19 28 6 2,0.6829,0 6 12 17 28,0.6829,0 6 12 17 28,0.6829,23 0 5 10 16,False,0.6829
2286_20200218.144917_CA4,Fe,2286,CA4,29,0.07342,0.58258,0.82199,14 0 4 28 9,0.82199,0 5 10 16 28,0.82199,13 19 28 0 4,0.82199,0 6 12 17 28,0.82199,0 6 12 17 28,0.82199,0 6 12 17 28,False,0.82199
2286_20200218.160907_CA1,Fe,2286,CA1,30,0.10686,0.74042,1.0,15 12 8 3 0,0.86238,0 7 12 16 4,0.77387,14 20 26 0 5,0.86238,0 8 14 4 19,0.86238,0 8 14 4 19,0.70157,24 0 6 11 15,False,1.0
2286_20200218.160907_CA2,Fe,2286,CA2,30,0.09783,0.7048,0.86296,15 12 8 4 0,1.0,0 7 12 17 3,0.85926,14 20 29 7 2,0.86296,0 8 14 4 19,0.86296,0 8 14 4 19,0.64364,24 0 6 11 15,False,1.0
2286_20200218.160907_CA3,Fe,2286,CA3,30,0.07504,0.71003,0.86771,15 12 9 4 0,1.0,0 7 12 17 3,0.86771,14 21 27 0 4,0.86771,0 8 14 4 19,0.86771,0 8 14 4 19,0.70601,24 0 6 11 15,False,1.0
2286_20200218.160907_CA4,Fe,2286,CA4,30,0.02383,0.67915,0.52775,15 12 19 6 1,0.9548,0 7 12 17 3,1.0,14 20 29 7 2,0.79897,0 8 14 19 4,0.79897,0 8 14 19 4,0.79897,0 8 14 19 4,False,0.9548
2286_20200302.142526_CA1,Fe,2286,CA1,30,0.72025,0.51373,0.64366,15 18 11 7 2,1.0,0 7 13 18 29,1.0,14 20 27 16 0,1.0,0 8 14 19 4,1.0,0 8 14 19 4,1.0,24 0 6 11 16,False,1.0
2286_20200302.142526_CA3,Fe,2286,CA3,30,0.4735,0.55375,1.0,15 0 5 29 20,1.0,0 7 13 18 29,1.0,14 20 25 17 0,1.0,0 8 14 19 4,1.0,0 8 14 19 4,1.0,24 0 6 11 16,False,1.0
2297_20200218.144632_CA1,Pb,2297,CA1,29,0.07711,0.71694,1.0,14 21 28 0 4,1.0,0 5 16 21 28,1.0,14 23 0 4 21,1.0,0 5 17 21 28,1.0,0 5 17 21 28,1.0,0 5 17 21 28,False,1.0
2297_20200218.144632_CA2,Pb,2297,CA2,29,0.0242,0.82245,0.89367,14 21 28 3 0,0.89367,0 5 16 3 22,1.0,14 23 2 4 8,0.89367,0 5 17 3 22,0.89367,0 5 17 3 22,0.89367,0 5 17 3 22,False,0.89367
2297_20200218.16201_CA1,Pb,2297,CA1,29,0.05587,0.76008,1.0,14 7 20 28 1,1.0,0 6 13 20 28,0.82928,12 22 0 4 28,0.79049,9 0 4 19 28,0.79049,9 0 4 19 28,0.79049,9 0 4 19 28,False,1.0
2297_20200218.16201_CA2,Pb,2297,CA2,29,0.02908,0.57648,1.0,14 7 3 0 24,1.0,0 6 13 3 21,1.0,12 22 0 4 3,1.0,9 0 4 19 3,1.0,9 0 4 19 3,1.0,9 0 4 19 3,False,1.0
2297_20200218.16201_CA3,Pb,2297,CA3,29,0.03393,0.44069,1.0,14 7 3 0 28,1.0,0 5 12 3 20,1.0,12 22 3 0 5,1.0,9 0 4 19 3,1.0,9 0 4 19 3,1.0,9 0 4 19 3,False,1.0
2297_20200218.16201_CA4,Pb,2297,CA4,29,0.01177,0.44419,1.0,14 0 3 6 28,1.0,0 5 12 3 20,0.64338,12 22 2 0 4,1.0,9 0 3 19 4,1.0,9 0 3 19 4,1.0,0 5 13 3 21,False,1.0
2297_20200302.142608_CA2,Pb,2297,CA2,30,0.03905,0.62669,1.0,15 20 29 4 1,0.80212,0 5 2 18 22,0.80212,14 22 0 2 5,0.80212,0 5 2 19 29,0.80212,0 5 2 19 29,0.80212,0 5 2 19 29,False,1.0
2297_20200302.142608_CA4,Pb,2297,CA4,30,0.02154,0.58377,1.0,15 20 8 3 1,0.9182,0 5 2 18 29,0.9182,14 22 2 0 4,0.9182,0 5 2 19 29,0.9182,0 5 2 19 29,0.9182,0 5 2 18 29,False,1.0
2298_20200218.144149_CA1,Co,2298,CA1,30,0.08378,0.73965,0.74936,15 18 12 8 29,1.0,14 9 0 18 29,0.96818,4 19 16 13 10,0.70851,24 19 0 29 7,1.0,14 19 9 0 29,0.96818,24 29 17 13 10,False,1.0
2298_20200218.162149_CA2,Co,2298,CA2,29,0.05917,0.612,0.92763,14 17 11 5 28,0.92763,0 14 9 23 17,0.73464,3 18 15 12 9,0.73464,19 28 0 7 12,0.92763,14 9 0 18 12,0.92763,23 14 11 17 7,False,0.92763
2298_20200302.142742_CA4,Co,2298,CA4,30,0.46433,0.25181,0.15043,15 12 8 2 20,0.15896,14 9 1 19 23,0.09879,4 20 16 13 29,0.0247,24 29 20 5 17,0.15896,14 19 7 0 22,0.15896,19 15 29 11 7,False,0.15896
2300_20200218.144726_CA1,Zn,2300,CA1,28,0.34284,0.6331,1.0,14 11 8 4 0,0.81527,14 18 10 7 2,1.0,15 0 7 27 10,0.81527,18 13 10 7 2,0.81527,18 13 10 7 2,0.81527,18 13 10 7 2,False,1.0
2300_20200218.144726_CA2,Zn,2300,CA2,28,0.2234,0.1971,0.02458,14 11 8 3 20,0.02952,14 18 10 7 0,0.02952,15 0 7 10 27,1.0,18 13 10 0 6,1.0,18 13 10 0 6,1.0,18 13 10 0 6,False,0.02952
2300_20200218.144726_CA3,Zn,2300,CA3,28,0.00491,0.59133,1.0,14 0 5 9 27,0.44222,14 18 8 2 10,1.0,15 0 7 10 27,1.0,18 13 27 8 1,1.0,18 13 27 8 1,1.0,18 13 27 8 1,True,1.0
3519_20200218.150107_CA3,In,3519,CA3,28,0.04319,0.43139,0.65009,14 11 17 20 25,0.26786,0 7 12 15 19,1.0,15 6 19 22 27,0.26786,0 7 12 15 19,0.26786,0 7 12 15 19,0.26786,0 7 12 15 19,False,0.65009
3519_20200218.16241_CA1,In,3519,CA1,29,0.25559,0.81848,1.0,14 17 10 6 0,0.88922,0 7 11 16 21,0.71983,15 5 19 28 9,0.88922,0 7 11 16 21,0.88922,0 7 11 16 21,0.88922,0 7 11 16 21,False,1.0
